defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,year,month,weekday
1,15,Structural,2024-06-06,Component,Minor,Visual Inspection,245.47,2024,6,6
2,6,Functional,2024-04-26,Component,Minor,Visual Inspection,26.87,2024,4,26
3,84,Structural,2024-02-15,Internal,Minor,Automated Testing,835.81,2024,2,15
4,10,Functional,2024-03-28,Internal,Critical,Automated Testing,444.47,2024,3,28
5,14,Cosmetic,2024-04-26,Component,Minor,Manual Testing,823.64,2024,4,26
6,17,Functional,2024-05-11,Internal,Moderate,Visual Inspection,788.11,2024,5,11
7,85,Cosmetic,2024-05-23,Internal,Critical,Manual Testing,33.68,2024,5,23
8,90,Structural,2024-01-15,Internal,Moderate,Manual Testing,65.56,2024,1,15
9,30,Structural,2024-01-26,Component,Critical,Manual Testing,848.61,2024,1,26
10,20,Structural,2024-06-05,Component,Critical,Visual Inspection,478.48,2024,6,5
11,45,Structural,2024-04-28,Surface,Moderate,Automated Testing,217.96,2024,4,28
12,86,Structural,2024-02-25,Component,Minor,Manual Testing,485.02,2024,2,25
13,87,Cosmetic,2024-06-20,Component,Minor,Visual Inspection,714.63,2024,6,20
14,72,Cosmetic,2024-05-08,Surface,Critical,Manual Testing,603.94,2024,5,8
15,74,Cosmetic,2024-05-03,Component,Critical,Manual Testing,189.55,2024,5,3
16,10,Functional,2024-01-20,Component,Minor,Automated Testing,458.79,2024,1,20
17,53,Structural,2024-05-14,Internal,Minor,Visual Inspection,509.35,2024,5,14
18,63,Cosmetic,2024-05-21,Component,Critical,Visual Inspection,538.99,2024,5,21
19,28,Functional,2024-02-15,Internal,Critical,Manual Testing,34.93,2024,2,15
20,81,Structural,2024-05-25,Internal,Moderate,Manual Testing,557.11,2024,5,25
21,67,Functional,2024-05-03,Surface,Minor,Visual Inspection,831.43,2024,5,3
22,6,Structural,2024-03-06,Surface,Minor,Visual Inspection,504.9,2024,3,6
23,33,Structural,2024-05-06,Surface,Moderate,Automated Testing,349.23,2024,5,6
24,15,Structural,2024-02-23,Component,Critical,Visual Inspection,560.39,2024,2,23
25,13,Cosmetic,2024-02-19,Surface,Moderate,Manual Testing,629.71,2024,2,19
26,39,Structural,2024-06-15,Component,Moderate,Visual Inspection,975.44,2024,6,15
27,60,Cosmetic,2024-05-08,Component,Moderate,Manual Testing,737.54,2024,5,8
28,42,Structural,2024-01-02,Component,Critical,Manual Testing,592.87,2024,1,2
29,3,Structural,2024-01-13,Component,Moderate,Automated Testing,99.82,2024,1,13
30,17,Functional,2024-01-22,Surface,Critical,Visual Inspection,106.34,2024,1,22
31,30,Structural,2024-04-30,Surface,Critical,Automated Testing,352.58,2024,4,30
32,25,Structural,2024-03-29,Surface,Moderate,Visual Inspection,734.12,2024,3,29
33,14,Cosmetic,2024-05-15,Internal,Minor,Visual Inspection,953.54,2024,5,15
34,58,Structural,2024-06-19,Surface,Critical,Manual Testing,753.89,2024,6,19
35,48,Functional,2024-04-04,Component,Critical,Automated Testing,955.91,2024,4,4
36,20,Structural,2024-06-04,Surface,Critical,Automated Testing,776.91,2024,6,4
37,68,Cosmetic,2024-01-20,Internal,Critical,Manual Testing,607.96,2024,1,20
38,51,Functional,2024-06-08,Internal,Moderate,Automated Testing,107.7,2024,6,8
39,12,Functional,2024-06-25,Internal,Critical,Manual Testing,27.24,2024,6,25
40,92,Cosmetic,2024-01-06,Surface,Critical,Visual Inspection,370.83,2024,1,6
41,63,Functional,2024-03-11,Component,Minor,Manual Testing,526.08,2024,3,11
42,49,Functional,2024-05-18,Surface,Critical,Automated Testing,144.38,2024,5,18
43,72,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,534.33,2024,3,23
44,24,Structural,2024-05-18,Surface,Minor,Visual Inspection,456.8,2024,5,18
45,64,Functional,2024-05-27,Surface,Minor,Automated Testing,215.01,2024,5,27
46,36,Structural,2024-04-24,Surface,Moderate,Manual Testing,824.3,2024,4,24
47,79,Structural,2024-02-14,Component,Critical,Manual Testing,769.28,2024,2,14
48,36,Structural,2024-01-03,Component,Moderate,Manual Testing,160.25,2024,1,3
49,65,Functional,2024-02-24,Component,Minor,Automated Testing,386.17,2024,2,24
50,9,Functional,2024-01-06,Component,Moderate,Manual Testing,572.08,2024,1,6
51,10,Structural,2024-06-26,Internal,Minor,Visual Inspection,433.85,2024,6,26
52,7,Structural,2024-05-19,Surface,Minor,Manual Testing,338.1,2024,5,19
53,81,Functional,2024-01-03,Surface,Critical,Automated Testing,93.13,2024,1,3
54,62,Cosmetic,2024-05-14,Component,Moderate,Visual Inspection,308.37,2024,5,14
55,29,Structural,2024-03-23,Internal,Critical,Automated Testing,396.58,2024,3,23
56,73,Structural,2024-01-19,Surface,Minor,Automated Testing,957.6,2024,1,19
57,86,Structural,2024-03-06,Internal,Moderate,Automated Testing,205.19,2024,3,6
58,5,Cosmetic,2024-05-25,Component,Critical,Manual Testing,300.27,2024,5,25
59,79,Structural,2024-03-10,Internal,Critical,Automated Testing,671.22,2024,3,10
60,87,Functional,2024-02-18,Surface,Minor,Visual Inspection,395.1,2024,2,18
61,60,Structural,2024-06-11,Component,Critical,Visual Inspection,675.89,2024,6,11
62,43,Cosmetic,2024-03-08,Component,Moderate,Visual Inspection,523.02,2024,3,8
63,52,Structural,2024-01-02,Surface,Critical,Manual Testing,337.5,2024,1,2
64,2,Cosmetic,2024-01-11,Surface,Minor,Automated Testing,830.89,2024,1,11
65,22,Functional,2024-04-16,Component,Critical,Visual Inspection,84.97,2024,4,16
66,31,Functional,2024-05-24,Internal,Minor,Visual Inspection,771.96,2024,5,24
67,87,Functional,2024-03-15,Internal,Minor,Automated Testing,46.43,2024,3,15
68,11,Cosmetic,2024-04-16,Internal,Minor,Automated Testing,31.91,2024,4,16
69,33,Cosmetic,2024-05-19,Component,Moderate,Automated Testing,845.8,2024,5,19
70,17,Functional,2024-02-19,Component,Minor,Manual Testing,729.55,2024,2,19
71,71,Cosmetic,2024-03-05,Surface,Moderate,Automated Testing,187.03,2024,3,5
72,35,Structural,2024-06-29,Component,Moderate,Automated Testing,470.35,2024,6,29
73,15,Functional,2024-05-20,Internal,Minor,Visual Inspection,662.35,2024,5,20
74,43,Functional,2024-04-04,Component,Critical,Visual Inspection,509.97,2024,4,4
75,2,Functional,2024-01-03,Component,Critical,Manual Testing,352.33,2024,1,3
76,36,Functional,2024-03-27,Surface,Minor,Manual Testing,228.22,2024,3,27
77,64,Functional,2024-02-06,Component,Critical,Manual Testing,632.45,2024,2,6
78,28,Functional,2024-06-20,Component,Critical,Automated Testing,975.87,2024,6,20
79,69,Structural,2024-03-23,Internal,Moderate,Visual Inspection,967.14,2024,3,23
80,75,Structural,2024-01-11,Surface,Moderate,Automated Testing,992.69,2024,1,11
81,69,Functional,2024-03-14,Surface,Minor,Manual Testing,827.74,2024,3,14
82,74,Structural,2024-04-02,Component,Critical,Automated Testing,270.97,2024,4,2
83,69,Structural,2024-04-11,Surface,Critical,Visual Inspection,712.98,2024,4,11
84,11,Structural,2024-06-24,Component,Critical,Manual Testing,556.05,2024,6,24
85,92,Structural,2024-04-27,Component,Minor,Manual Testing,200.11,2024,4,27
86,70,Structural,2024-01-14,Component,Moderate,Automated Testing,660.05,2024,1,14
87,22,Structural,2024-01-21,Component,Moderate,Manual Testing,220.96,2024,1,21
